HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr98	Yr00	Yr01	Yr02	Yr03	Yr04	Yr05	Yr06	Yr07	Yr08	Yr09	Yr10	Yr11
L25	Prostate or Bladder Neck Open Procedure (Male and Female) >69 or w cc	0	0				1									
L25	Bladder Neck Open Procedures Male	0	0					1	1	1	1	1	1	1	1	1
L26	Prostate or Bladder Neck Open Proc. (Male and Female) <70 w/o cc	0	0	1	1	1										
L26	Prostate or Bladder Neck Open Procedure (Male and Female) <70 w/o cc	0	0				1									
L26	Bladder Neck Open Procedures Female	0	0					1	1	1	1	1	1	1	1	1
L27	Prostate Transurethral Resection Procedure >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L28	Prostate Transurethral Resection Procedure <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L29	Prostate or Bladder Neck Intermediate Endo. Proc. (Male and Female)	0	0	1	1	1										
L29	Prostate or Bladder Neck Intermediate Endoscopic Procedure (Male and Female)	0	0				1	1	1	1	1	1	1	1	1	1
L30	Prostate or Bladder Neck Minor Endoscopic Proc. (Male and Female)	0	0	1	1	1										
L30	Prostate or Bladder Neck Minor Endoscopic Procedure (Male and Female)	0	0				1	1	1	1	1	1	1	1	1	1
L31	Malignant Prostate Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L32	Non-Malignant Prostate Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L33	Urethra Major Open Procedure	0	0	1	1	1	1									
L33	Urethra Major Open Procedures	0	0					1	1	1	1	1	1	1	1	1
L34	Urethra Intermediate or Minor Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L35	Urethra Intermediate or Minor Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L36	Urethra Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L37	Penis Major or Intermediate Open Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L38	Penis Minor Open Procedure > 69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L39	Penis Minor Open Procedure <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L40	Penis Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L41	Vasectomy Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L42	Scrotum Testis or Vas Deferens Major Open Procedure >69 or w cc	0	0	1	1	1	1									
L42	Scrotum Testis or Vas Deferens Open Procedures >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
L43	Scrotum Testis or Vas Deferens Major Open Procedure <70 w/o cc	0	0	1	1	1	1									
L43	Scrotum Testis or Vas Deferens Open Procedures <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
L44	Scrotum Testis or Vas Deferens Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L45	Extracorporeal Lithotripsy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L46	Renal Replacement Associated Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L47	Renal Replacement Therapy w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L48	Renal Replacement Therapy w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L49	Acute Renal Failure >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L50	Acute Renal Failure <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L51	Chronic Renal Failure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L52	Renal General Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L53	Renal General Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L54	Renal Findings >69 or w cc	0	0	1	1	1	1									
L54	Urinary Tract Findings >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
L55	Renal Findings <70 w/o cc	0	0	1	1	1	1									
L55	Urinary Tract Findings <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
L66	Urethra Major Open Procedure - paediatric	0	0					1	1	1	1	1	1	1	1	1
L68	Cystectomy with Urinary Diversion and Reconstruction	0	0					1	1	1	1	1	1	1	1	1
L69	Urinary Tract Stone Disease	0	0					1	1	1	1	1	1	1	1	1
L98	Chemotherapy with Urinary Tract or Male Repro. System Primary Diag.	0	0	1	1	1										
L98	Chemotherapy with a Urinary Tract or Male Reproductive System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
L99	Complex Elderly with a Urinary Tract or Male Repro. Sys. Primary Diag.	0	0	1	1	1										
L99	Complex Elderly with a Urinary Tract or Male Reproductive System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
M01	Lower Genital Tract Minor Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M02	Lower Genital Tract Intermediate Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M03	Lower Genital Tract Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M04	Lower Genital Tract Complex Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M05	Upper Genital Tract Minor Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M06	Upper Genital Tract Intermediate Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M07	Upper Genital Tract Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M08	Upper Genital Tract Complex Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M09	Threatened or Spontaneous Abortion	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M10	Surgical Termination of Pregnancy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M11	Medical Termination of Pregnancy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M12	Non-Surgical Treatment of Lower Genital Tract Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M13	Non-Surgical Treatment of Genital Prolapse or Incontinence	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M14	Non-Surg. Treatment of Fibroids Menstrual Disorders or Endometriosis	0	0	1	1	1										
M14	"Non-Surgical Treatment of Fibroids, Menstrual Disorders, or Endometriosis"	0	0				1	1	1	1	1	1	1	1	1	1
M15	Non-Surgical Treatment of Ovary Tube or Pelvis Disorders	0	0	1	1	1										
M15	"Non-Surgical Treatment of Ovary, Tube, or Pelvis Disorders"	0	0				1	1	1	1	1	1	1	1	1	1
M16	Non-Surgical Treatment of Gynaecological Malignancy >69 or w cc	0	0	1	1	1	1									
M16	Non-Surgical Treatment of Gynaecological Malignancy w cc	0	0					1	1	1	1	1	1	1	1	1
M17	Non-Surgical Treatment of Gynaecological Malignancy <70 w/o cc	0	0	1	1	1	1									
M17	Non-Surgical Treatment of Gynaecological Malignancy w/o cc	0	0					1	1	1	1	1	1	1	1	1
M18	Non-Surgical Treatment of Other Gynaecological Conditions	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M19	Gynaecological Radiotherapy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M98	Chemotherapy with a Female Reproductive System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M99	Complex Elderly with Female Reproductive System Primary Diagnosis	0	0	1	1	1										
M99	Complex Elderly with a Female Reproductive System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
N01	Neonates - Died <2 days old	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N02	Neonates with Multiple Minor Diagnoses	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N03	Neonates with one Minor Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N04	Neonates with Multiple Major Diagnoses	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N05	Neonates with one Major Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N06	Normal Delivery w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N07	Normal Delivery w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N08	Assisted Delivery w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N09	Assisted Delivery w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N10	Caesarean Section w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N11	Caesarean Section w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N12	Other Maternity Events	0	0	1	1	1	1									
N12	Antenatal Admissions not Related to Delivery Event	0	0					1	1	1	1	1	1	1	1	1
P01	Asthma or Recurrent Wheeze	0	0	1	1	1	1									
P01	Asthma or Wheezing	0	0					1	1	1	1	1	1	1	1	1
P02	Cystic Fibrosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P03	Upper Respiratory Tract Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P04	Lower Respiratory Tract Disorders	0	0	1	1	1	1									
P04	Lower Respiratory Tract Disorders without Acute Bronchiolitis	0	0					1	1	1	1	1	1	1	1	1
P05	Major Infections (including Immune Disorders)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P06	Minor Infections (including Immune Disorders)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P07	Neoplasms	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P08	Febrile Convulsions	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P09	Major Nervous System Disorders	0	0	1	1	1	1									
P09	Nervous System Disorders	0	0					1	1	1	1	1	1	1	1	1
P10	Other Nervous System Disorders	0	0	1	1	1	1									
P11	Endocrine Disorders (including Diabetes)	0	0	1	1	1	1									
P11	Endocrine Disorders (excluding Diabetes Mellitus)	0	0					1	1	1	1	1	1	1	1	1
P12	Major Gastrointestinal or Metabolic Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P13	Other Gastrointestinal or Metabolic Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P14	Ingestion Poisoning or Allergies	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P15	Accidental Injury	0	0	1	1	1	1									
P15	Accidental Injury without Brain Injury	0	0					1	1	1	1	1	1	1	1	1
P16	Child Welfare and Protection	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P17	Behavioural Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P18	Psychiatric Disorders	0	0	1	1	1	1									
P18	Developmental Disorders	0	0					1	1	1	1	1	1	1	1	1
P19	Major Congenital Conditions	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P20	Other Congenital Conditions	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P21	Renal Disease	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P22	Renal Disease with Renal Failure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P23	Blood Cell Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P24	Skin Musculoskeletal or Connective Tissue Disorders	0	0	1	1	1										
P24	"Skin, Musculoskeletal, or Connective Tissue Disorders"	0	0				1	1	1	1	1	1	1	1	1	1
P25	Cardiac Conditions	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
P26	Infectious and Non-Infectious Gastroenteritis	0	0					1	1	1	1	1	1	1	1	1
P27	Acute Bronchiolitis	0	0					1	1	1	1	1	1	1	1	1
P28	Epilepsy Syndrome	0	0					1	1	1	1	1	1	1	1	1
P29	Diabetes Mellitus	0	0					1	1	1	1	1	1	1	1	1
P30	Head Injury with Brain Injury	0	0					1	1	1	1	1	1	1	1	1
P31	Head Injury without Brain Injury	0	0					1	1	1	1	1	1	1	1	1
P98	Chemotherapy with a Disease of Childhood Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q01	Emergency Aortic Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q02	Elective Abdominal Vascular Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q03	Lower Limb Arterial Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q04	Bypasses to Tibial Arteries	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q05	Extracranial or Upper Limb Arterial Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q06	Miscellaneous Major Vascular Procedures	0	0	1	1	1	1									
Q06	Miscellaneous Vascular Procedures	0	0					1	1	1	1	1	1	1	1	1
Q07	Miscellaneous Intermediate or Minor Vascular Procedures	0	0	1	1	1	1									
Q08	Procedures on the Spleen	0	0	1	1	1	1									
Q09	Procedures on the Lymphatic System w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q10	Procedures on the Lymphatic System w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q11	Varicose Vein Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q12	Therapeutic Endovascular Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q13	Diagnostic Radiology - Arteries or Lymphatics w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q14	Diagnostic Radiology - Arteries or Lymphatics w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q15	Amputations	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q16	Foot Procs. for Diabetes or Arterial Dis. and Procs. to Amp. Stumps	0	0	1	1	1										
Q16	"Foot Procedures for Diabetes or Arterial Disease, and Procedures to Amputation Stumps"	0	0				1	1	1	1	1	1	1	1	1	1
Q17	Peripheral Vascular Disease >69 or w cc	0	0	1	1	1	1									
Q17	Non-Surgical Peripheral Vascular Disease w cc	0	0					1	1	1	1	1	1	1	1	1
Q18	Peripheral Vascular Disease <70 w/o cc	0	0	1	1	1	1									
Q18	Non-Surgical Peripheral Vascular Disease w/o cc	0	0					1	1	1	1	1	1	1	1	1
Q19	Vascular Access for Renal Replacement Therapy	0	0					1	1	1	1	1	1	1	1	1
Q98	Chemotherapy with a Vascular System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Q99	Complex Elderly with a Vascular System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R01	Minor Spinal Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R02	Surgery for Degenerative Spinal Disorders	0	0	1	1	1	1									
R02	Surgery for Prolapsed Intervertebral Disc	0	0					1	1	1	1	1	1	1	1	1
R03	Spinal Fusion or Decompression Excluding Trauma	0	0	1	1	1	1									
R03	Decompression and Effusion for Degenerative Spinal Disorders	0	0					1	1	1	1	1	1	1	1	1
R04	Vertebral Column Injury with Fusion or Decompression	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R05	Vertebral Column Injury without Procedure >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R06	Vertebral Column Injury without Procedure <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R07	Spinal Cord Injury with Fusion or Decompression	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R08	Spinal Cord Injury without Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R09	Revisional Spinal Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R10	Surgery for Scoliosis or Other Spinal Deformity	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R11	Spinal Cord Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R12	Cervical Spinal Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R13	Cervical Spinal Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R14	Spinal Tumours	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R15	Thoracic or Lumbar Spinal Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R16	Thoracic or Lumbar Spinal Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R17	Non-Traumatic Spinal Cord Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R18	Scoliosis or Other Spinal Deformity	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R19	Intermediate Spinal Procedures	0	0					1	1	1	1	1	1	1	1	1
R98	Chemotherapy with a Spinal Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
R99	Complex Elderly with a Spinal Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S01	Haematological Disorders with Minor Procedure	0	0	1	1	1	1									
S02	Malignant Disorders of Lymphatic or Haematological Systems w cc	0	0	1	1	1	1									
S03	Malignant Disorders of Lymphatic or Haematological Systems w/o cc	0	0	1	1	1	1									
S04	Coagulation Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S05	Red Blood Cell Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S06	Red Blood Cell Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S07	Other Haematological or Splenic Disorders w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S08	Other Haematological or Splenic Disorders w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S09	Bone Marrow Graft	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S10	Disorders of Immunity with HIV/AIDS	0	0	1	1	1	1									
S10	Manifestations of HIV/AIDS	0	0					1	1	1	1	1	1	1	1	1
S11	Disorders of Immunity without HIV/AIDS	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S12	Septicaemia	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S13	Pyrexia of Unknown Origin	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S14	Other Viral Illness	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S15	Other Non-Viral Infections	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S16	Poisoning Toxic Effects or Overdoses	0	0	1	1	1										
S16	"Poisoning, Toxic Effects, or Overdoses"	0	0				1									
S16	"Poisoning, Toxic, Environmental and Unspecified Effects"	0	0					1	1	1	1	1	1	1	1	1
S17	Side Effects of Drugs	0	0	1	1	1	1									
S18	Environmental Injury	0	0	1	1	1	1									
S19	Complications of Treatment	0	1	1	1	1	1									
S19	Complications of Procedures	0	1					1	1	1	1	1	1	1	1	1
S20	Postoperative infection	0	1	1	1	1	1									
S21	Convalescent or Other Relief Care	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S22	Planned Procedures Not Carried Out	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
S23	Rehabilitation	0	0	1	1	1	1									
S24	Holiday Relief Care	0	0	1	1	1	1									
S24	Respite Care	0	0					1	1	1	1	1	1	1	1	1
S25	Other Admissions	0	0	1	1	1	1									
S26	Shock and Anaphylaxis	0	0					1	1	1	1	1	1	1	1	1
S27	Malignant Disorder of the Lymphatic/ Haematological  Systems with los <2 days	0	0					1	1	1	1	1	1	1	1	1
S28	Malignant Disorder of the Lymphatic/ Haematological Systems with los >1 day	0	0			1		1	1	1	1	1	1	1	1	1
S29	Other Admissions Related to Neoplasms	0	0					1	1	1	1	1	1	1	1	1
S30	Other Congenital Conditions Persisting in Adulthood	0	0					1	1	1	1	1	1	1	1	1
S31	Admission for Unexplained Symptons	0	0					1	1	1	1	1	1	1	1	1
S32	Abnormal Findings without Diagnosis	0	0					1	1	1	1	1	1	1	1	1
S33	"Examination, Follow up and Special Screening"	0	0					1	1	1	1	1	1	1	1	1
S34	Other Procedures and Health Care Problems	0	0					1	1	1	1	1	1	1	1	1
S35	Other Specified Admissions and Counselling	0	0					1	1	1	1	1	1	1	1	1
S36	Diagnostic Extraction of Bone Marrow	0	0					1	1	1	1	1	1	1	1	1
S98	Chemothrpy. with Haematology Infs. Dis. Poisoning or NS Primary Diag.	0	0	1	1	1										
S98	"Chemotherapy with a Haematology, Infectious Disease, Poisoning, or Non-specific Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
S99	Complex Elderly with Haematology Infs. Dis. Poisoning or NS Pri. Diag.	0	0	1	1	1										
S99	"Complex Elderly with a Haematology, Infectious Disease, Poisoning, or Non-specific Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
T01	Senile Dementia	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T02	Schizophreniform Psychoses with Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T03	Schizophreniform Psychoses without Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T04	Mania with Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T05	Mania without Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T06	Depression with Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T07	Depression without Section	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T08	Presenile Dementia	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T09	Anxiety Syndromes	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T10	Alcohol or Drugs Non-Dependent Use >16	0	0	1	1	1	1									
T10	Alcohol or Drugs Non-Dependent Use >18	0	0					1	1	1	1	1	1	1	1	1
T11	Alcohol or Drugs Non-Dependent Use <17	0	0	1	1	1	1									
T11	Alcohol or Drugs Non-Dependent Use <19	0	0					1	1	1	1	1	1	1	1	1
T12	Alcohol or Drugs Dependency	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T13	Eating Disorders or Obsessive Compulsive Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T14	Acute Reactions or Personality Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T15	Childhood Non-Psychotic Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T16	Mental Retardation	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
T17	Specific Learning Disabilities	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
U01	Invalid Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
U02	Invalid Dominant Px 	0	0		1	1										
U02	Invalid Dominant Procedure	0	0				1	1	1	1	1	1	1	1	1	1
U04	Age Outside Range 0-130	0	0	1	1	1	1		1	1	1	1	1	1	1	1
U05	Age Conflicting with Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
U07	Poorly Coded Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
U08	Poorly Coded Dominant Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
U09	Invalid Length of Stay	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
